epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2767,1.44144,3.20059,1.16284,0.98687,0.03437,0.07536,0.04421,1.53049,2.96159,1.084,0.00023634,0.00023634,0.00023634
2,25.4266,1.3594,1.69022,1.14218,0.69538,0.18963,0.16809,0.10529,1.29836,2.62879,1.05922,0.000434075,0.000434075,0.000434075
3,34.481,1.3079,1.45397,1.11637,0.81333,0.11641,0.2237,0.1444,1.26996,2.32399,1.0749,0.000583214,0.000583214,0.000583214
4,43.3219,1.28766,1.34746,1.10314,0.71063,0.25656,0.28726,0.17207,1.30412,1.70459,1.11088,0.000639027,0.000639027,0.000639027
5,52.4333,1.25418,1.28267,1.10348,0.68869,0.27744,0.29026,0.1747,1.24731,1.36635,1.0907,0.000549036,0.000549036,0.000549036
6,61.4699,1.21932,1.18525,1.08182,0.59707,0.33449,0.3257,0.20505,1.22434,1.09072,1.07241,0.000459045,0.000459045,0.000459045
7,70.4413,1.21006,1.14881,1.06921,0.6238,0.37664,0.39064,0.24222,1.21317,1.12246,1.06427,0.000369054,0.000369054,0.000369054
8,79.4574,1.19098,1.08798,1.06325,0.74715,0.37072,0.40976,0.25042,1.16562,0.95629,1.04386,0.000279063,0.000279063,0.000279063
9,88.6124,1.15495,1.01992,1.04809,0.66365,0.40109,0.43568,0.27643,1.13727,0.91352,1.03458,0.000189072,0.000189072,0.000189072
10,97.7859,1.13746,0.9946,1.04323,0.6753,0.4089,0.44639,0.28799,1.12383,0.88696,1.02557,9.9081e-05,9.9081e-05,9.9081e-05
